1		I		0		5310
2		P		120		5158
3		B		40		2614
4		B		80		1628
5		P		240		2125
6		B		160		1315
7		B		200		1464
8		P		360		1634
9		B		280		1761
10		B		320		4107
11		I		480		6532
12		B		400		656
13		B		440		4240
14		P		600		8863
15		B		520		5331
16		B		560		2939
17		P		720		3665
18		B		640		2247
19		B		680		2617
20		P		840		3926
21		B		760		2372
22		B		800		2583
23		I		960		8753
24		B		880		2359
25		B		920		2582
26		P		1080		3788
27		B		1000		3118
28		B		1040		2797
29		P		1200		3947
30		B		1120		2860
31		B		1160		2789
32		P		1320		4337
33		B		1240		3078
34		B		1280		3086
35		I		1440		8918
36		B		1360		3188
37		B		1400		3776
38		P		1560		4756
39		B		1480		3566
40		B		1520		3874
41		P		1680		5032
42		B		1600		3760
43		B		1640		3992
44		P		1800		4703
45		B		1720		4225
46		B		1760		3876
47		I		1920		9005
48		B		1840		4039
49		B		1880		3695
50		P		2040		4756
51		B		1960		3691
52		B		2000		3997
53		P		2160		4749
54		B		2080		3976
55		B		2120		3733
56		P		2280		4863
57		B		2200		3929
58		B		2240		3783
59		I		2400		9404
60		B		2320		3673
61		B		2360		3794
62		P		2520		5892
63		B		2440		4108
64		B		2480		4214
65		P		2640		5470
66		B		2560		4158
67		B		2600		4409
68		P		2760		5028
69		B		2680		3939
70		B		2720		4136
71		I		2880		9894
72		B		2800		3910
73		B		2840		3744
74		P		3000		5697
75		B		2920		4206
76		B		2960		4420
77		P		3120		5337
78		B		3040		4204
79		B		3080		4169
80		P		3240		4709
81		B		3160		4072
82		B		3200		4051
83		I		3360		9533
84		B		3280		3735
85		B		3320		3800
86		P		3480		4876
87		B		3400		3899
88		B		3440		3775
89		P		3600		4414
90		B		3520		3686
91		B		3560		3664
92		P		3720		4689
93		B		3640		3759
94		B		3680		3519
95		I		3840		8840
96		B		3760		3312
97		B		3800		2835
98		P		3960		4244
99		B		3880		3221
100		B		3920		3138
101		P		4080		3664
102		B		4000		2878
103		B		4040		3050
104		P		4200		3304
105		B		4120		2611
106		B		4160		2952
107		I		4320		8851
108		B		4240		2739
109		B		4280		3106
110		P		4440		5670
111		B		4360		3026
112		B		4400		3553
113		P		4560		4760
114		B		4480		3892
115		B		4520		4225
116		P		4680		6553
117		B		4600		5387
118		B		4640		5463
119		I		4800		9683
120		B		4720		4718
121		B		4760		3817
122		P		4920		6722
123		B		4840		3976
124		B		4880		3845
125		P		5040		6436
126		B		4960		4767
127		B		5000		4738
128		P		5160		7259
129		B		5080		5848
130		B		5120		6532
131		I		5280		11396
132		B		5200		4921
133		B		5240		5221
134		P		5400		6834
135		B		5320		5350
136		B		5360		4901
137		P		5520		7531
138		B		5440		5252
139		B		5480		5381
140		P		5640		8013
141		B		5560		6302
142		B		5600		6354
143		I		5760		10977
144		B		5680		4901
145		B		5720		4788
146		P		5880		6137
147		B		5800		4574
148		B		5840		4615
149		P		6000		7470
150		B		5920		5434
151		B		5960		4921
152		P		6120		6378
153		B		6040		6112
154		B		6080		6161
155		I		6240		9388
156		B		6160		4855
157		B		6200		5113
158		P		6360		6177
159		B		6280		5044
160		B		6320		5219
161		P		6480		5704
162		B		6400		5224
163		B		6440		4965
164		P		6600		9141
165		B		6520		6090
166		B		6560		4425
167		I		6720		6003
168		B		6640		4271
169		B		6680		4349
170		P		6840		5761
171		B		6760		4736
172		B		6800		4732
173		P		6960		4269
174		B		6880		4153
175		B		6920		4111
176		P		7080		4047
177		B		7000		3692
178		B		7040		3262
179		I		7200		5275
180		B		7120		3232
181		B		7160		3398
182		P		7320		5686
183		B		7240		4143
184		B		7280		4285
185		P		7440		5406
186		B		7360		5221
187		B		7400		5097
188		P		7560		5372
189		B		7480		4597
190		B		7520		4318
191		I		7680		6441
192		B		7600		4190
193		B		7640		4499
194		P		7800		6337
195		B		7720		4977
196		B		7760		5166
197		P		7920		7322
198		B		7840		5407
199		B		7880		4708
200		P		8040		7219
201		B		7960		4240
202		B		8000		4174
203		I		8160		8705
204		B		8080		3309
205		B		8120		3016
206		P		8280		8540
207		B		8200		3634
208		B		8240		3867
209		P		8400		8550
210		B		8320		3923
211		B		8360		4139
212		P		8520		9088
213		B		8440		3031
214		B		8480		3782
215		I		8640		7947
216		B		8560		3055
217		B		8600		2784
218		P		8760		6337
219		B		8680		2130
220		B		8720		1985
221		P		8880		3771
222		B		8800		7297
223		B		8840		1260
224		P		9000		9953
225		B		8920		1328
226		B		8960		1398
227		I		9120		9434
228		B		9040		7307
229		B		9080		7284
230		P		9240		10265
231		B		9160		7624
232		B		9200		3964
233		P		9360		5612
234		B		9280		3697
235		B		9320		3602
236		P		9480		4967
237		B		9400		3830
238		B		9440		3843
239		I		9600		8763
240		B		9520		3704
241		B		9560		3849
242		P		9720		5411
243		B		9640		4030
244		B		9680		3976
245		P		9840		5263
246		B		9760		4116
247		B		9800		4056
248		P		9960		5009
249		B		9880		4027
250		B		9920		4186
251		I		10080		9344
252		B		10000		3986
253		B		10040		4098
254		P		10200		6309
255		B		10120		4306
256		B		10160		4612
257		P		10320		5574
258		B		10240		4493
259		B		10280		4360
260		P		10440		5540
261		B		10360		4183
262		B		10400		3923
263		I		10560		8884
264		B		10480		3970
265		B		10520		4040
266		P		10680		5806
267		B		10600		4230
268		B		10640		4506
269		P		10800		5680
270		B		10720		4399
271		B		10760		4354
272		P		10920		5653
273		B		10840		4507
274		B		10880		4193
275		I		11040		8835
276		B		10960		4232
277		B		11000		4165
278		P		11160		5383
279		B		11080		4122
280		B		11120		4226
281		P		11280		5052
282		B		11200		3799
283		B		11240		3779
284		P		11400		4529
285		B		11320		3623
286		B		11360		3651
287		I		11520		8337
288		B		11440		3433
289		B		11480		3680
290		P		11640		9674
291		B		11560		3945
292		B		11600		4350
293		P		11760		5070
294		B		11680		3625
295		B		11720		3945
296		P		11880		5705
297		B		11800		4162
298		B		11840		4360
299		I		12000		9233
300		B		11920		4228
301		B		11960		4335
302		P		12120		6745
303		B		12040		3803
304		B		12080		3425
305		P		12240		4680
306		B		12160		3266
307		B		12200		3344
308		P		12360		4326
309		B		12280		3226
310		B		12320		3330
311		I		12480		10012
312		B		12400		3615
313		B		12440		3692
314		P		12600		6992
315		B		12520		4820
316		B		12560		4971
317		P		12720		7668
318		B		12640		5699
319		B		12680		5994
320		P		12840		7415
321		B		12760		5165
322		B		12800		5889
323		I		12960		10175
324		B		12880		6100
325		B		12920		5300
326		P		13080		6611
327		B		13000		3799
328		B		13040		3518
329		P		13200		4523
330		B		13120		3304
331		B		13160		3212
332		P		13320		4746
333		B		13240		3567
334		B		13280		3510
335		I		13440		6119
336		B		13360		3566
337		B		13400		3458
338		P		13560		4422
339		B		13480		3367
340		B		13520		3507
341		P		13680		4435
342		B		13600		3483
343		B		13640		3344
344		P		13800		3984
