1		I		0		7441
2		P		120		1352
3		B		40		1142
4		B		80		1048
5		P		240		1202
6		B		160		999
7		B		200		920
8		P		360		980
9		B		280		923
10		B		320		906
11		I		480		7424
12		B		400		547
13		B		440		612
14		P		600		1210
15		B		520		897
16		B		560		1064
17		P		720		972
18		B		640		849
19		B		680		821
20		P		840		953
21		B		760		752
22		B		800		773
23		I		960		7405
24		B		880		593
25		B		920		486
26		P		1080		1136
27		B		1000		1153
28		B		1040		1099
29		P		1200		1105
30		B		1120		896
31		B		1160		846
32		P		1320		1111
33		B		1240		878
34		B		1280		915
35		I		1440		7409
36		B		1360		680
37		B		1400		611
38		P		1560		1409
39		B		1480		991
40		B		1520		1009
41		P		1680		1192
42		B		1600		864
43		B		1640		893
44		P		1800		984
45		B		1720		826
46		B		1760		838
47		I		1920		7427
48		B		1840		617
49		B		1880		644
50		P		2040		1231
51		B		1960		997
52		B		2000		988
53		P		2160		999
54		B		2080		886
55		B		2120		860
56		P		2280		1026
57		B		2200		870
58		B		2240		774
59		I		2400		7435
60		B		2320		608
61		B		2360		608
62		P		2520		1273
63		B		2440		941
64		B		2480		968
65		P		2640		1185
66		B		2560		928
67		B		2600		943
68		P		2760		1017
69		B		2680		884
70		B		2720		872
71		I		2880		7479
72		B		2800		604
73		B		2840		525
74		P		3000		1285
75		B		2920		873
76		B		2960		976
77		P		3120		1043
78		B		3040		894
79		B		3080		834
80		P		3240		1072
81		B		3160		790
82		B		3200		804
83		I		3360		7422
84		B		3280		617
85		B		3320		597
86		P		3480		1120
87		B		3400		860
88		B		3440		899
89		P		3600		1015
90		B		3520		822
91		B		3560		848
92		P		3720		1114
93		B		3640		875
94		B		3680		895
95		I		3840		7498
96		B		3760		752
97		B		3800		666
98		P		3960		1180
99		B		3880		913
100		B		3920		1031
101		P		4080		1009
102		B		4000		963
103		B		4040		926
104		P		4200		993
105		B		4120		802
106		B		4160		882
107		I		4320		7455
108		B		4240		614
109		B		4280		596
110		P		4440		1160
111		B		4360		911
112		B		4400		966
113		P		4560		1089
114		B		4480		845
115		B		4520		788
116		P		4680		940
117		B		4600		706
118		B		4640		748
119		I		4800		7451
120		B		4720		532
121		B		4760		537
122		P		4920		1186
123		B		4840		873
124		B		4880		896
125		P		5040		1113
126		B		4960		888
127		B		5000		783
128		P		5160		901
129		B		5080		790
130		B		5120		773
131		I		5280		7407
132		B		5200		537
133		B		5240		490
134		P		5400		1093
135		B		5320		830
136		B		5360		934
137		P		5520		891
138		B		5440		854
139		B		5480		960
140		P		5640		918
141		B		5560		801
142		B		5600		807
143		I		5760		7463
144		B		5680		598
145		B		5720		583
146		P		5880		1115
147		B		5800		917
148		B		5840		910
149		P		6000		1074
150		B		5920		794
151		B		5960		803
152		P		6120		846
153		B		6040		751
154		B		6080		757
155		I		6240		7415
156		B		6160		499
157		B		6200		560
158		P		6360		1112
159		B		6280		1003
160		B		6320		849
161		P		6480		899
162		B		6400		818
163		B		6440		725
164		P		6600		924
165		B		6520		758
166		B		6560		772
167		I		6720		7392
168		B		6640		549
169		B		6680		516
170		P		6840		1209
171		B		6760		1015
172		B		6800		801
173		P		6960		942
174		B		6880		932
175		B		6920		874
176		P		7080		963
177		B		7000		692
178		B		7040		727
179		I		7200		7379
180		B		7120		503
181		B		7160		599
182		P		7320		1057
183		B		7240		794
184		B		7280		806
185		P		7440		907
186		B		7360		736
187		B		7400		793
188		P		7560		840
189		B		7480		649
190		B		7520		731
191		I		7680		7386
192		B		7600		577
