1		I		0		6976
2		P		120		4087
3		B		40		2821
4		B		80		2836
5		P		240		3015
6		B		160		2472
7		B		200		2541
8		P		360		3231
9		B		280		2518
10		B		320		2675
11		I		480		6828
12		B		400		2606
13		B		440		2477
14		P		600		3228
15		B		520		2574
16		B		560		2631
17		P		720		2839
18		B		640		2575
19		B		680		2452
20		P		840		2897
21		B		760		2599
22		B		800		2483
23		I		960		6814
24		B		880		2554
25		B		920		2415
26		P		1080		3086
27		B		1000		2533
28		B		1040		2486
29		P		1200		2865
30		B		1120		2496
31		B		1160		2441
32		P		1320		2779
33		B		1240		2420
34		B		1280		2332
35		I		1440		6740
36		B		1360		2219
37		B		1400		2238
38		P		1560		2997
39		B		1480		2491
40		B		1520		2512
41		P		1680		2846
42		B		1600		2364
43		B		1640		2470
44		P		1800		2815
45		B		1720		2442
46		B		1760		2371
47		I		1920		6826
48		B		1840		2278
49		B		1880		2313
50		P		2040		3146
51		B		1960		2584
52		B		2000		2541
53		P		2160		2864
54		B		2080		2438
55		B		2120		2474
56		P		2280		2852
57		B		2200		2449
58		B		2240		2480
59		I		2400		6818
60		B		2320		2254
61		B		2360		2235
62		P		2520		3047
63		B		2440		2572
64		B		2480		2644
65		P		2640		2901
66		B		2560		2394
67		B		2600		2348
68		P		2760		3192
69		B		2680		2407
70		B		2720		2311
71		I		2880		6112
72		B		2800		2186
73		B		2840		2230
74		P		3000		2842
75		B		2920		2375
76		B		2960		2285
77		P		3120		2662
78		B		3040		2182
79		B		3080		2229
80		P		3240		2564
81		B		3160		2226
82		B		3200		2263
83		I		3360		5987
84		B		3280		2178
85		B		3320		2192
86		P		3480		2739
87		B		3400		2314
88		B		3440		2354
89		P		3600		2513
90		B		3520		2154
91		B		3560		2177
92		P		3720		2459
93		B		3640		2132
94		B		3680		2136
95		I		3840		5903
96		B		3760		2000
97		B		3800		2019
98		P		3960		2673
99		B		3880		2262
100		B		3920		2263
101		P		4080		2448
102		B		4000		2273
103		B		4040		2190
104		P		4200		2497
105		B		4120		2134
106		B		4160		2206
107		I		4320		5873
108		B		4240		1983
109		B		4280		2073
110		P		4440		2632
111		B		4360		2210
112		B		4400		2269
113		P		4560		2447
114		B		4480		2126
115		B		4520		2178
116		P		4680		2423
117		B		4600		2160
118		B		4640		2125
119		I		4800		5959
120		B		4720		2041
121		B		4760		2050
122		P		4920		2777
123		B		4840		2267
124		B		4880		2216
125		P		5040		2427
126		B		4960		2118
127		B		5000		2100
128		P		5160		2383
129		B		5080		2132
130		B		5120		2128
131		I		5280		5902
132		B		5200		1987
133		B		5240		2068
134		P		5400		2731
135		B		5320		2250
136		B		5360		2212
137		P		5520		2483
138		B		5440		2147
139		B		5480		2093
140		P		5640		2406
141		B		5560		2170
142		B		5600		2157
143		I		5760		6019
144		B		5680		2083
145		B		5720		1954
146		P		5880		2649
147		B		5800		2261
148		B		5840		2312
149		P		6000		2582
150		B		5920		2105
151		B		5960		2093
152		P		6120		2578
153		B		6040		2048
154		B		6080		2242
155		I		6240		6021
156		B		6160		2113
157		B		6200		2162
158		P		6360		2988
159		B		6280		2367
160		B		6320		2312
161		P		6480		2643
162		B		6400		2257
163		B		6440		2312
164		P		6600		2930
165		B		6520		2386
166		B		6560		2287
167		I		6720		6625
