1		I		0		11545
2		P		120		11703
3		B		40		7843
4		B		80		7147
5		P		240		9358
6		B		160		7319
7		B		200		7496
8		P		360		10247
9		B		280		7745
10		B		320		8134
11		I		480		12468
12		B		400		8722
13		B		440		8309
14		P		600		11842
15		B		520		9520
16		B		560		9592
17		P		720		11707
18		B		640		8644
19		B		680		9621
20		P		840		10419
21		B		760		9920
22		B		800		8744
23		I		960		11806
24		B		880		8603
25		B		920		8813
26		P		1080		9231
27		B		1000		8475
28		B		1040		8125
29		P		1200		8966
30		B		1120		7989
31		B		1160		7275
32		P		1320		8036
33		B		1240		6733
34		B		1280		6603
35		I		1440		10252
36		B		1360		6789
37		B		1400		6385
38		P		1560		8233
39		B		1480		6310
40		B		1520		6528
41		P		1680		8449
42		B		1600		6542
43		B		1640		6841
44		P		1800		9001
45		B		1720		7099
46		B		1760		7126
47		I		1920		11232
48		B		1840		7482
49		B		1880		7488
50		P		2040		10206
51		B		1960		8262
52		B		2000		8730
53		P		2160		9364
54		B		2080		8049
55		B		2120		8012
56		P		2280		7999
57		B		2200		7525
58		B		2240		6613
59		I		2400		11462
60		B		2320		6003
61		B		2360		6098
62		P		2520		9307
63		B		2440		6423
64		B		2480		6517
65		P		2640		9273
66		B		2560		6434
67		B		2600		6567
68		P		2760		8645
69		B		2680		6931
70		B		2720		7459
71		I		2880		10026
72		B		2800		7228
73		B		2840		6968
74		P		3000		8416
75		B		2920		7099
76		B		2960		7732
77		P		3120		9056
78		B		3040		6410
79		B		3080		6925
80		P		3240		7434
81		B		3160		4139
82		B		3200		4227
83		I		3360		10003
84		B		3280		3446
85		B		3320		3481
86		P		3480		5681
87		B		3400		4105
88		B		3440		3933
89		P		3600		8439
90		B		3520		6723
91		B		3560		6796
92		P		3720		8897
93		B		3640		7511
94		B		3680		7627
95		I		3840		11372
96		B		3760		7945
97		B		3800		4545
98		P		3960		11402
99		B		3880		9250
100		B		3920		9296
101		P		4080		10791
102		B		4000		9226
103		B		4040		8979
104		P		4200		10221
105		B		4120		8830
106		B		4160		8583
